Name,Category,Summary,Path,Language,EntryPoints,Dependencies,Version,Tags
Run-NonLVChecksInDocker,Build/CI,Requires -Version 7.0,icon-editor-lab-6/tools/Run-NonLVChecksInDocker.ps1,PowerShell,Run-NonLVChecksInDocker.ps1,,,"build-ci,nonlvchecksindocker,requires,run,version"
Summarize-PRVIHistory,Build/CI,Builds a Markdown summary from pr-vi-history-summary@v1 payloads.,icon-editor-lab-6/tools/Summarize-PRVIHistory.ps1,PowerShell,Summarize-PRVIHistory.ps1,,,"build-ci,builds,markdown,payloads.,prvihistory,summarize,summary"
Traceability-Matrix,Build/CI,Traceability Matrix Builder (Traceability Matrix Plan v1.0.0),icon-editor-lab-6/tools/Traceability-Matrix.ps1,PowerShell,Traceability-Matrix.ps1,,,"build-ci,builder,matrix,plan,traceability,traceability-matrix,v1.0.0"
docker,Build/CI,docker,icon-editor-lab-6/tools/docker,Mixed,,,,"build-ci,docker"
Close-LabVIEW,CLI,Gracefully closes a running LabVIEW instance using the provider-agnostic CLI abstraction.,icon-editor-lab-6/tools/Close-LabVIEW.ps1,PowerShell,Close-LabVIEW.ps1,,,"abstraction.,cli,close,close-labview,closes,gracefully,instance,labview"
Publish-Cli,CLI,Publish Cli,icon-editor-lab-6/tools/Publish-Cli.ps1,PowerShell,Publish-Cli.ps1,,,"cli,publish,publish-cli"
Agent-Wait,Dev Workflow/Hooks,Fallbacks for local/non-GitHub contexts,icon-editor-lab-6/tools/Agent-Wait.ps1,PowerShell,Agent-Wait.ps1,,,"agent,agent-wait,contexts,dev workflow-hooks,fallbacks,for,local,non-github"
Agent-WaitHook.Profile,Dev Workflow/Hooks,Auto-end wait if marker exists and not yet ended for current startedUtc,icon-editor-lab-6/tools/Agent-WaitHook.Profile.ps1,PowerShell,Agent-WaitHook.Profile.ps1,,,"agent,and,auto-end,current,dev workflow-hooks,ended,exists,for"
Agent-Warmup,Dev Workflow/Hooks,One-stop warm-up command to prep local agent context for #127 (watch telemetry + session lock).,icon-editor-lab-6/tools/Agent-Warmup.ps1,PowerShell,Agent-Warmup.ps1,,,"agent,agent-warmup,command,context,dev workflow-hooks,for,local,lock"
hooks,Dev Workflow/Hooks,hooks,icon-editor-lab-6/tools/hooks,Mixed,,,,"dev workflow-hooks,hooks"
Dev-WatcherManager,DevServer/Watch,Dev WatcherManager,icon-editor-lab-6/tools/Dev-WatcherManager.ps1,PowerShell,Dev-WatcherManager.ps1,,,"dev,dev-watchermanager,devserver-watch,watchermanager"
Guard-LabVIEWPersistence,DevServer/Watch,Guard to observe LabVIEW/LVCompare process presence around phases.,icon-editor-lab-6/tools/Guard-LabVIEWPersistence.ps1,PowerShell,Guard-LabVIEWPersistence.ps1,,,"around,devserver-watch,guard,labview,labviewpersistence,lvcompare,observe,phases."
Watch-OrchestratedRest,DevServer/Watch,Wrapper for the REST watcher that writes watcher-rest.json and merges it into session-index.json.,icon-editor-lab-6/tools/Watch-OrchestratedRest.ps1,PowerShell,Watch-OrchestratedRest.ps1,,,"and,devserver-watch,for,merges,orchestratedrest,rest,session-index.json.,watch"
Watch-Pester,DevServer/Watch,Watch Pester,icon-editor-lab-6/tools/Watch-Pester.ps1,PowerShell,Watch-Pester.ps1,,,"devserver-watch,pester,watch,watch-pester"
Watch-RunAndTrack,DevServer/Watch,Watch RunAndTrack,icon-editor-lab-6/tools/Watch-RunAndTrack.ps1,PowerShell,Watch-RunAndTrack.ps1,,,"devserver-watch,runandtrack,watch,watch-runandtrack"
watchers,DevServer/Watch,orchestrated watch,icon-editor-lab-6/tools/watchers,TypeScript/JavaScript,,,,"devserver-watch,orchestrated,watch,watchers"
Binding-MinRepro,General,Binding-MinRepro.ps1,icon-editor-lab-6/tools/Binding-MinRepro.ps1,PowerShell,Binding-MinRepro.ps1,,,"binding,binding-minrepro,binding-minrepro.ps1,general,minrepro"
Close-LVCompare,General,Close LVCompare,icon-editor-lab-6/tools/Close-LVCompare.ps1,PowerShell,Close-LVCompare.ps1,,,"close,close-lvcompare,general,lvcompare"
Collect-RunnerHealth,General,Service probe (Windows and Linux),icon-editor-lab-6/tools/Collect-RunnerHealth.ps1,PowerShell,Collect-RunnerHealth.ps1,,,"and,collect,collect-runnerhealth,general,linux,probe,runnerhealth,service"
ConsoleWatch,General,ConsoleWatch,icon-editor-lab-6/tools/ConsoleWatch.ps1,PowerShell,ConsoleWatch.ps1,,,"consolewatch,general"
Detect-RogueLV,General,Detect RogueLV,icon-editor-lab-6/tools/Detect-RogueLV.ps1,PowerShell,Detect-RogueLV.ps1,,,"detect,detect-roguelv,general,roguelv"
Dev-Dashboard,General,Dev Dashboard,icon-editor-lab-6/tools/Dev-Dashboard.ps1,PowerShell,Dev-Dashboard.ps1,,,"dashboard,dev,dev-dashboard,general"
Dispatch-WithSample,General,Dispatch a workflow with a freshly-generated sample_id.,icon-editor-lab-6/tools/Dispatch-WithSample.ps1,PowerShell,Dispatch-WithSample.ps1,,,"dispatch,dispatch-withsample,freshly-generated,general,id.,sample,withsample,workflow"
Emit-LVClosureCrumb,General,Emit LV closure telemetry crumbs when enabled.,icon-editor-lab-6/tools/Emit-LVClosureCrumb.ps1,PowerShell,Emit-LVClosureCrumb.ps1,,,"closure,crumbs,emit,emit-lvclosurecrumb,enabled.,general,lvclosurecrumb,telemetry"
Ensure-SessionIndex,General,Ensure SessionIndex,icon-editor-lab-6/tools/Ensure-SessionIndex.ps1,PowerShell,Ensure-SessionIndex.ps1,,,"ensure,ensure-sessionindex,general,sessionindex"
Follow-OrchestratedRun,General,Follow OrchestratedRun,icon-editor-lab-6/tools/Follow-OrchestratedRun.ps1,PowerShell,Follow-OrchestratedRun.ps1,,,"follow,general,orchestratedrun"
Follow-PesterArtifacts,General,Follow PesterArtifacts,icon-editor-lab-6/tools/Follow-PesterArtifacts.ps1,PowerShell,Follow-PesterArtifacts.ps1,,,"follow,general,pesterartifacts"
Force-CloseLabVIEW,General,Force CloseLabVIEW,icon-editor-lab-6/tools/Force-CloseLabVIEW.ps1,PowerShell,Force-CloseLabVIEW.ps1,,,"closelabview,force,force-closelabview,general"
Get-FileSha256,General,Compute the SHA-256 digest for a file.,icon-editor-lab-6/tools/Get-FileSha256.ps1,PowerShell,Get-FileSha256.ps1,,,"compute,digest,file.,filesha,for,general,get,get-filesha256"
Invoke-DevDashboard,General,Invoke DevDashboard,icon-editor-lab-6/tools/Invoke-DevDashboard.ps1,PowerShell,Invoke-DevDashboard.ps1,,,"devdashboard,general,invoke,invoke-devdashboard"
Invoke-JsonSchemaLite,General,When the supplied schema declares a const value that does not match the JSON payload's,icon-editor-lab-6/tools/Invoke-JsonSchemaLite.ps1,PowerShell,Invoke-JsonSchemaLite.ps1,,,"const,declares,does,general,invoke,json,jsonschemalite,match"
Invoke-LVCompare,General,Invoke LVCompare,icon-editor-lab-6/tools/Invoke-LVCompare.ps1,PowerShell,Invoke-LVCompare.ps1,,,"general,invoke,invoke-lvcompare,lvcompare"
Invoke-LabelsSync,General,Invoke LabelsSync,icon-editor-lab-6/tools/Invoke-LabelsSync.ps1,PowerShell,Invoke-LabelsSync.ps1,,,"general,invoke,invoke-labelssync,labelssync"
Link-RequirementToAdr,General,Link RequirementToAdr,icon-editor-lab-6/tools/Link-RequirementToAdr.ps1,PowerShell,Link-RequirementToAdr.ps1,,,"general,link,requirementtoadr"
Local-RunTests,General,Ensure local-friendly environment (no session locks or GH-only toggles),icon-editor-lab-6/tools/Local-RunTests.ps1,PowerShell,Local-RunTests.ps1,,,"ensure,environment,general,gh-only,local,local-friendly,local-runtests,locks"
Local-Runbook,General,Default phases for local sanity runs,icon-editor-lab-6/tools/Local-Runbook.ps1,PowerShell,Local-Runbook.ps1,,,"default,for,general,local,local-runbook,phases,runbook,runs"
Measure-ResponseWindow,General,Emit machine-friendly line,icon-editor-lab-6/tools/Measure-ResponseWindow.ps1,PowerShell,Measure-ResponseWindow.ps1,,,"emit,general,line,machine-friendly,measure,responsewindow"
New-Adr,General,New Adr,icon-editor-lab-6/tools/New-Adr.ps1,PowerShell,New-Adr.ps1,,,"adr,general,new,new-adr"
New-SampleId,General,Generate a sample_id for workflow_dispatch runs.,icon-editor-lab-6/tools/New-SampleId.ps1,PowerShell,New-SampleId.ps1,,,"dispatch,for,general,generate,new,new-sampleid,runs.,sample"
Notify-Demo,General,Notify Demo,icon-editor-lab-6/tools/Notify-Demo.ps1,PowerShell,Notify-Demo.ps1,,,"demo,general,notify,notify-demo"
OneButton-CI,General,One-button end-to-end CI trigger and artifact post-processing for #127.,icon-editor-lab-6/tools/OneButton-CI.ps1,PowerShell,OneButton-CI.ps1,,,"and,artifact,ci,end-to-end,for,general,one-button,onebutton"
Post-Run-Cleanup,General,Post-run cleanup orchestrator. Aggregates cleanup requests and ensures close,icon-editor-lab-6/tools/Post-Run-Cleanup.ps1,PowerShell,Post-Run-Cleanup.ps1,,,"aggregates,and,cleanup,close,ensures,general,orchestrator.,post"
Prime-LVCompare,General,Prime LVCompare,icon-editor-lab-6/tools/Prime-LVCompare.ps1,PowerShell,Prime-LVCompare.ps1,,,"general,lvcompare,prime,prime-lvcompare"
Print-AgentHandoff,General,Print AgentHandoff,icon-editor-lab-6/tools/Print-AgentHandoff.ps1,PowerShell,Print-AgentHandoff.ps1,,,"agenthandoff,general,print,print-agenthandoff"
Print-PesterTopFailures,General,Print PesterTopFailures,icon-editor-lab-6/tools/Print-PesterTopFailures.ps1,PowerShell,Print-PesterTopFailures.ps1,,,"general,pestertopfailures,print"
Publish-VICompareSummary,General,Publish VICompareSummary,icon-editor-lab-6/tools/Publish-VICompareSummary.ps1,PowerShell,Publish-VICompareSummary.ps1,,,"general,publish,vicomparesummary"
Read-EnvSettings,General,Read EnvSettings,icon-editor-lab-6/tools/Read-EnvSettings.ps1,PowerShell,Read-EnvSettings.ps1,,,"envsettings,general,read,read-envsettings"
Render-RunSummary,General,Render RunSummary,icon-editor-lab-6/tools/Render-RunSummary.ps1,PowerShell,Render-RunSummary.ps1,,,"general,render,render-runsummary,runsummary"
Run-DX,General,Shared / Pester parameters,icon-editor-lab-6/tools/Run-DX.ps1,PowerShell,Run-DX.ps1,,,"dx,general,parameters,pester,run,run-dx,shared"
Run-FixtureValidation,General,Run FixtureValidation,icon-editor-lab-6/tools/Run-FixtureValidation.ps1,PowerShell,Run-FixtureValidation.ps1,,,"fixturevalidation,general,run"
Run-HeadlessCompare,General,Run HeadlessCompare,icon-editor-lab-6/tools/Run-HeadlessCompare.ps1,PowerShell,Run-HeadlessCompare.ps1,,,"general,headlesscompare,run,run-headlesscompare"
Run-LocalBackbone,General,Run LocalBackbone,icon-editor-lab-6/tools/Run-LocalBackbone.ps1,PowerShell,Run-LocalBackbone.ps1,,,"general,localbackbone,run,run-localbackbone"
Run-LoopDeterminism,General,Run LoopDeterminism,icon-editor-lab-6/tools/Run-LoopDeterminism.ps1,PowerShell,Run-LoopDeterminism.ps1,,,"general,loopdeterminism,run,run-loopdeterminism"
Run-SessionIndexValidation,General,Run SessionIndexValidation,icon-editor-lab-6/tools/Run-SessionIndexValidation.ps1,PowerShell,Run-SessionIndexValidation.ps1,,,"general,run,sessionindexvalidation"
Run-StagedLVCompare,General,Runs LVCompare against staged VI pairs recorded by Invoke-PRVIStaging.,icon-editor-lab-6/tools/Run-StagedLVCompare.ps1,PowerShell,Run-StagedLVCompare.ps1,,,"against,general,invoke-prvistaging.,lvcompare,pairs,recorded,run,run-stagedlvcompare"
RunnerInvoker,General,RunnerInvoker,icon-editor-lab-6/tools/RunnerInvoker,Mixed,,,,"general,runnerinvoker"
Send-CtrlC,General,Attempt to send Ctrl+C (and Ctrl+Break) to target console processes to unblock hangs.,icon-editor-lab-6/tools/Send-CtrlC.ps1,PowerShell,Send-CtrlC.ps1,,,"and,attempt,console,ctrl+break,ctrl+c,ctrlc,general,hangs."
Session-Lock,General,Session Lock,icon-editor-lab-6/tools/Session-Lock.ps1,PowerShell,Session-Lock.ps1,,,"general,lock,session,session-lock"
Summarize-PesterCategories,General,Aggregate per-category Pester session-index totals and append a compact block to job summary.,icon-editor-lab-6/tools/Summarize-PesterCategories.ps1,PowerShell,Summarize-PesterCategories.ps1,,,"aggregate,and,append,block,compact,general,job,per-category"
Summarize-VIStaging,General,Produces human-friendly summaries for staged LVCompare results.,icon-editor-lab-6/tools/Summarize-VIStaging.ps1,PowerShell,Summarize-VIStaging.ps1,,,"for,general,human-friendly,lvcompare,produces,results.,staged,summaries"
Track-WorkflowRun,General,Track WorkflowRun,icon-editor-lab-6/tools/Track-WorkflowRun.ps1,PowerShell,Track-WorkflowRun.ps1,,,"general,track,track-workflowrun,workflowrun"
Update-FixtureManifest,General,Updates fixtures.manifest.json with current SHA256 & size metadata and optional pair digest block.,icon-editor-lab-6/tools/Update-FixtureManifest.ps1,PowerShell,Update-FixtureManifest.ps1,,,"and,block.,current,digest,fixturemanifest,general,metadata,optional"
Update-SessionIndexBranchProtection,General,Inject branch-protection verification metadata into a session-index.json file.,icon-editor-lab-6/tools/Update-SessionIndexBranchProtection.ps1,PowerShell,Update-SessionIndexBranchProtection.ps1,,,"branch-protection,file.,general,inject,metadata,session-index.json,sessionindexbranchprotection,update"
Update-SessionIndexWatcher,General,Update SessionIndexWatcher,icon-editor-lab-6/tools/Update-SessionIndexWatcher.ps1,PowerShell,Update-SessionIndexWatcher.ps1,,,"general,sessionindexwatcher,update"
Vipm,General,Vipm,icon-editor-lab-6/tools/Vipm,Mixed,,,,"general,vipm"
Warmup-LabVIEWRuntime,General,Warmup LabVIEWRuntime,icon-editor-lab-6/tools/Warmup-LabVIEWRuntime.ps1,PowerShell,Warmup-LabVIEWRuntime.ps1,,,"general,labviewruntime,warmup"
Write-AgentContext,General,Repo context,icon-editor-lab-6/tools/Write-AgentContext.ps1,PowerShell,Write-AgentContext.ps1,,,"agentcontext,context,general,repo,write,write-agentcontext"
Write-ArtifactList,General,Append a compact artifact path list to the job summary.,icon-editor-lab-6/tools/Write-ArtifactList.ps1,PowerShell,Write-ArtifactList.ps1,,,"append,artifact,artifactlist,compact,general,job,list,path"
Write-ArtifactMap,General,"Append a detailed artifact map (exists, size, modified) to job summary.",icon-editor-lab-6/tools/Write-ArtifactMap.ps1,PowerShell,Write-ArtifactMap.ps1,,,"append,artifact,artifactmap,detailed,exists,general,job,map"
Write-DerivedEnv,General,Write DerivedEnv,icon-editor-lab-6/tools/Write-DerivedEnv.ps1,PowerShell,Write-DerivedEnv.ps1,,,"derivedenv,general,write,write-derivedenv"
Write-DeterminismSummary,General,Append a concise Determinism block to the job summary based on LOOP_* envs.,icon-editor-lab-6/tools/Write-DeterminismSummary.ps1,PowerShell,Write-DeterminismSummary.ps1,,,"append,based,block,concise,determinism,determinismsummary,envs.,general"
Write-FixtureDriftSummary,General,Append a concise Fixture Drift block from drift-summary.json (best-effort).,icon-editor-lab-6/tools/Write-FixtureDriftSummary.ps1,PowerShell,Write-FixtureDriftSummary.ps1,,,"append,best-effort,block,concise,drift,drift-summary.json,fixture,fixturedriftsummary"
Write-FixtureValidationSummary,General,Write FixtureValidationSummary,icon-editor-lab-6/tools/Write-FixtureValidationSummary.ps1,PowerShell,Write-FixtureValidationSummary.ps1,,,"fixturevalidationsummary,general,write"
Write-InteractivityProbe,General,Emit a small interactivity/console probe to the job Step Summary and stdout.,icon-editor-lab-6/tools/Write-InteractivityProbe.ps1,PowerShell,Write-InteractivityProbe.ps1,,,"and,console,emit,general,interactivity,interactivityprobe,job,probe"
Write-PesterTopFailures,General,Append a concise “Top Failures” section to the job summary from Pester outputs.,icon-editor-lab-6/tools/Write-PesterTopFailures.ps1,PowerShell,Write-PesterTopFailures.ps1,,,"append,concise,failures,general,job,outputs.,pester,pestertopfailures"
Write-RerunHint,General,Append a concise re-run hint block using gh workflow run with sample_id.,icon-editor-lab-6/tools/Write-RerunHint.ps1,PowerShell,Write-RerunHint.ps1,,,"append,block,concise,general,hint,id.,re-run,rerunhint"
Write-RerunSummary,General,Append a step summary block that captures a rerun command and workflow link.,icon-editor-lab-6/tools/Write-RerunSummary.ps1,PowerShell,Write-RerunSummary.ps1,,,"and,append,block,captures,command,general,link.,rerun"
Write-RunProvenance,General,Write run provenance (with fallbacks) to results/provenance.json and optionally append to the job summary.,icon-editor-lab-6/tools/Write-RunProvenance.ps1,PowerShell,Write-RunProvenance.ps1,,,"and,append,fallbacks,general,job,optionally,provenance,provenance.json"
Write-RunnerIdentity,General,Append runner identity metadata to job summary.,icon-editor-lab-6/tools/Write-RunnerIdentity.ps1,PowerShell,Write-RunnerIdentity.ps1,,,"append,general,identity,job,metadata,runner,runneridentity,summary."
schemas,General,definitions,icon-editor-lab-6/tools/schemas,TypeScript/JavaScript,,,,"definitions,general,schemas"
shims,General,punycode userland,icon-editor-lab-6/tools/shims,TypeScript/JavaScript,,,,"general,punycode,shims,userland"
workflows,General,workflows,icon-editor-lab-6/tools/workflows,Python,,,,"general,workflows"
Generate-ActionOutputsDoc,GitHub Actions,Generate markdown documentation for composite action inputs & outputs.,icon-editor-lab-6/tools/Generate-ActionOutputsDoc.ps1,PowerShell,Generate-ActionOutputsDoc.ps1,,,"action,actionoutputsdoc,composite,documentation,for,generate,github actions,inputs"
actions,GitHub Actions,Minimal JS/TS action without external deps.,icon-editor-lab-6/tools/actions,TypeScript/JavaScript,,,,"action,actions,deps.,external,github actions,minimal,without"
generate-action-outputs,GitHub Actions,generate action outputs,icon-editor-lab-6/tools/generate-action-outputs.ts,TypeScript,generate-action-outputs.ts,,,"action,generate,github actions,outputs"
icon-editor,Icons/Graphics,icon editor,icon-editor-lab-6/tools/icon-editor,Mixed,,,,"editor,icon,icon-editor,icons-graphics"
Capture-LabVIEWSnapshot,LabVIEW,Capture a snapshot of active LabVIEW.exe processes for diagnostics.,icon-editor-lab-6/tools/Capture-LabVIEWSnapshot.ps1,PowerShell,Capture-LabVIEWSnapshot.ps1,,,"active,capture,diagnostics.,for,labview,labview.exe,labviewsnapshot,processes"
Debug-ChildProcesses,LabVIEW,"Capture a snapshot of child processes (pwsh, conhost, LabVIEW, LVCompare) with memory usage.",icon-editor-lab-6/tools/Debug-ChildProcesses.ps1,PowerShell,Debug-ChildProcesses.ps1,,,"capture,child,childprocesses,conhost,debug,debug-childprocesses,labview,lvcompare"
Warmup-LabVIEW,LabVIEW,Compatibility wrapper for Warmup-LabVIEWRuntime.ps1 (deprecated entry point).,icon-editor-lab-6/tools/Warmup-LabVIEW.ps1,PowerShell,Warmup-LabVIEW.ps1,,,"compatibility,deprecated,entry,for,labview,point,warmup,warmup-labview"
priority,Project/Priority,priority,icon-editor-lab-6/tools/priority,Mixed,,,,"priority,project-priority"
Assert-NoAmbiguousRemoteRefs,Quality/Validation,Ensures the specified remote does not publish multiple refs (branch/tag),icon-editor-lab-6/tools/Assert-NoAmbiguousRemoteRefs.ps1,PowerShell,Assert-NoAmbiguousRemoteRefs.ps1,,,"assert,branch,does,ensures,multiple,noambiguousremoterefs,not,publish"
Assert-ValidateOutputs,Quality/Validation,Assert ValidateOutputs,icon-editor-lab-6/tools/Assert-ValidateOutputs.ps1,PowerShell,Assert-ValidateOutputs.ps1,,,"assert,quality-validation,validateoutputs"
Check-DocsLinks,Quality/Validation,Quick link check across Markdown files.,icon-editor-lab-6/tools/Check-DocsLinks.ps1,PowerShell,Check-DocsLinks.ps1,,,"across,check,check-docslinks,docslinks,files.,link,markdown,quality-validation"
Check-PRMergeable,Quality/Validation,Check a pull request mergeability state via the GitHub API.,icon-editor-lab-6/tools/Check-PRMergeable.ps1,PowerShell,Check-PRMergeable.ps1,,,"api.,check,check-prmergeable,github,mergeability,prmergeable,pull,quality-validation"
Check-WorkflowDrift,Quality/Validation,Check WorkflowDrift,icon-editor-lab-6/tools/Check-WorkflowDrift.ps1,PowerShell,Check-WorkflowDrift.ps1,,,"check,check-workflowdrift,quality-validation,workflowdrift"
Invoke-LintDotSourcing,Quality/Validation,Helper wrapper for dot-sourcing lint task that tolerates missing script.,icon-editor-lab-6/tools/Invoke-LintDotSourcing.ps1,PowerShell,Invoke-LintDotSourcing.ps1,,,"dot-sourcing,for,helper,invoke,lint,lintdotsourcing,missing,quality-validation"
Lint-DotSourcing,Quality/Validation,Lint DotSourcing,icon-editor-lab-6/tools/Lint-DotSourcing.ps1,PowerShell,Lint-DotSourcing.ps1,,,"dotsourcing,lint,lint-dotsourcing,quality-validation"
Lint-InlineIfInFormat,Quality/Validation,"Detect the PowerShell format operator specifically: ""..."" -f ...",icon-editor-lab-6/tools/Lint-InlineIfInFormat.ps1,PowerShell,Lint-InlineIfInFormat.ps1,,,"detect,format,inlineifinformat,lint,operator,powershell,quality-validation,specifically"
Lint-LoopDeterminism,Quality/Validation,Lint for CI loop determinism patterns in workflow/script content.,icon-editor-lab-6/tools/Lint-LoopDeterminism.ps1,PowerShell,Lint-LoopDeterminism.ps1,,,"content.,determinism,for,lint,lint-loopdeterminism,loop,loopdeterminism,patterns"
Lint-LoopDeterminism.Shim,Quality/Validation,Robust wrapper for Lint-LoopDeterminism.ps1 that tolerates mixed/positional args,icon-editor-lab-6/tools/Lint-LoopDeterminism.Shim.ps1,PowerShell,Lint-LoopDeterminism.Shim.ps1,,,"args,for,lint,loopdeterminism,mixed,positional,quality-validation,robust"
Lint-Markdown,Quality/Validation,Lint Markdown,icon-editor-lab-6/tools/Lint-Markdown.ps1,PowerShell,Lint-Markdown.ps1,,,"lint,lint-markdown,markdown,quality-validation"
PrePush-Checks,Quality/Validation,Local pre-push checks: run actionlint against workflows.,icon-editor-lab-6/tools/PrePush-Checks.ps1,PowerShell,PrePush-Checks.ps1,,,"actionlint,against,checks,local,pre-push,prepush,prepush-checks,quality-validation"
Quick-VerifyCompare,Quality/Validation,Quick local verification of Compare VI action outputs (seconds + nanoseconds) without running full Pester.,icon-editor-lab-6/tools/Quick-VerifyCompare.ps1,PowerShell,Quick-VerifyCompare.ps1,,,"action,compare,full,local,nanoseconds,outputs,pester.,quality-validation"
Run-OneButtonValidate,Quality/Validation,Run OneButtonValidate,icon-editor-lab-6/tools/Run-OneButtonValidate.ps1,PowerShell,Run-OneButtonValidate.ps1,,,"onebuttonvalidate,quality-validation,run"
Test-FixtureValidationDeltaSchema,Quality/Validation,Lightweight validation (no external JSON Schema engine): assert required keys & types,icon-editor-lab-6/tools/Test-FixtureValidationDeltaSchema.ps1,PowerShell,Test-FixtureValidationDeltaSchema.ps1,,,"assert,engine,external,fixturevalidationdeltaschema,json,keys,lightweight,quality-validation"
Validate-AdrLinks,Quality/Validation,Validate AdrLinks,icon-editor-lab-6/tools/Validate-AdrLinks.ps1,PowerShell,Validate-AdrLinks.ps1,,,"adrlinks,quality-validation,validate,validate-adrlinks"
Validate-Fixtures,Quality/Validation,Manual argument parsing (avoid param binding edge cases under certain hosts),icon-editor-lab-6/tools/Validate-Fixtures.ps1,PowerShell,Validate-Fixtures.ps1,,,"argument,avoid,binding,cases,certain,edge,fixtures,hosts"
Verify-FixtureCompare,Quality/Validation,Verify FixtureCompare,icon-editor-lab-6/tools/Verify-FixtureCompare.ps1,PowerShell,Verify-FixtureCompare.ps1,,,"fixturecompare,quality-validation,verify"
cli,Quality/Validation,validate cli,icon-editor-lab-6/tools/cli,TypeScript/JavaScript,,,,"cli,quality-validation,validate"
dl-actionlint,Quality/Validation,dl actionlint,icon-editor-lab-6/tools/dl-actionlint.sh,Shell,dl-actionlint.sh,,,"actionlint,dl-actionlint,quality-validation"
After-CommitActions,Release/Versioning,Requires -Version 7.0,icon-editor-lab-6/tools/After-CommitActions.ps1,PowerShell,After-CommitActions.ps1,,,"after,after-commitactions,commitactions,release-versioning,requires,version"
